epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,413.249,0.47653,0.91797,1,0.23001,0.000415905,0.000415905,0.000415905
2,820.54,0.24563,0.95703,1,0.16424,0.000750147,0.000750147,0.000750147
3,1231.95,0.23673,0.95703,1,0.13009,0.00100189,0.00100189,0.00100189
4,1653.41,0.19791,0.96484,1,0.11526,0.00087875,0.00087875,0.00087875
5,2098.88,0.15672,0.98438,1,0.06416,0.000755,0.000755,0.000755
6,2561.03,0.12313,0.98633,1,0.04924,0.00063125,0.00063125,0.00063125
7,3026.48,0.09711,0.98633,1,0.04843,0.0005075,0.0005075,0.0005075
8,3528.17,0.07374,0.98828,1,0.04177,0.00038375,0.00038375,0.00038375
9,3968.73,0.06625,0.99219,1,0.03279,0.00026,0.00026,0.00026
10,4395.04,0.05637,0.99414,1,0.02924,0.00013625,0.00013625,0.00013625
